"basic_unit_id","code","synonym","notes","region_id","continent_id","place","id","botanical_country_id"
304,"890","","",4,1,"Gaidhouronisi",601,160
219,"891","","",48,8,"Galápagos",602,113
220,"892","","",8,2,"Gambia, The",603,114
545,"893","","",32,6,"Gambier Is.",604,329
344,"894","","",25,4,"Gan",605,187
127,"895","","",22,3,"Gansu",606,61
462,"896","Nikumaroro","[Phoenix Is.]",31,6,"Gardner I.",607,263
241,"897","","",34,6,"Gardner Pinnacles",608,129
304,"898","","",4,1,"Gavdhopoula",609,160
304,"899","","",4,1,"Gavdhos",610,160
515,"1530","Surinam","",47,8,"Netherlands Guiana",1237,309
"","649","","",22,3,"China South-central",360,57
313,"1248","","",20,3,"Lebanon",959,169
